TIEMPO, PRESION, DISTANCIA, TEMPERATURA PLACA SUPERIOR, TEMPERATURA PLACA INFERIOR
00:24.23,0.718475073313783,0.03,25.48,24.02
00:24.28,0.694037145650049,-0.11,24.55,25.25
00:24.34,0.669599217986315,-0.28,24.55,25.25
00:24.39,0.684261974584555,-0.11,23.63,26.49
00:24.44,0.698924731182796,-0.11,23.17,24.84
00:24.50,0.713587487781036,-0.11,26.40,24.02
00:24.55,0.694037145650049,-0.12,25.94,25.66
00:24.60,0.674486803519062,-0.11,25.48,24.43
00:24.66,0.679374389051808,-0.11,23.63,25.25
00:24.71,0.703812316715543,-0.11,24.55,25.25
00:24.76,0.733137829912023,-0.11,25.48,24.84
00:24.82,0.708699902248289,-0.11,26.40,24.84
00:24.87,0.684261974584555,-0.11,25.02,24.43
00:24.92,0.674486803519062,-0.15,23.63,25.25
00:24.98,0.713587487781036,-0.11,24.55,25.25
00:25.03,0.742913000977517,-0.11,25.02,24.84
00:25.08,0.708699902248289,-0.24,24.55,24.84
00:25.14,0.684261974584555,-0.11,25.48,24.02
00:25.19,0.674486803519062,-0.11,24.09,25.25
00:25.24,0.713587487781036,-0.11,25.48,24.43
00:25.29,0.728250244379277,-0.11,25.94,24.02
00:25.35,0.703812316715543,-0.11,24.55,24.43
00:25.40,0.679374389051808,-0.12,24.09,24.43
00:25.46,0.674486803519062,-0.24,23.63,26.08
00:25.51,0.694037145650049,-0.24,23.63,24.43
00:25.56,0.713587487781036,-0.24,26.40,24.43
00:25.62,0.703812316715543,-0.28,24.55,25.25
00:25.67,0.684261974584555,-0.12,25.48,25.25
00:25.72,0.674486803519062,-0.25,24.09,24.84
00:25.77,0.703812316715543,-0.25,27.79,24.84
00:25.83,0.718475073313783,-0.25,25.02,24.02
00:25.88,0.708699902248289,0.01,25.02,24.84
00:25.93,0.694037145650049,0.11,25.94,24.43
00:25.99,0.674486803519062,0.28,25.48,25.25
00:26.04,0.698924731182796,0.25,23.17,24.02
00:26.10,0.713587487781036,-0.12,25.48,25.66
00:26.15,0.703812316715543,0.39,25.94,24.84
00:26.20,0.689149560117302,0.41,25.02,25.66
00:26.25,0.669599217986315,0.41,25.02,24.43
00:26.31,0.694037145650049,0.42,24.55,24.43
00:26.36,0.713587487781036,0.42,24.55,24.02
00:26.41,0.703812316715543,0.28,28.25,24.43
00:26.47,0.689149560117302,0.14,24.55,24.43
00:26.52,0.669599217986315,0.7,23.63,25.66
00:26.58,0.694037145650049,0.01,25.02,24.43
00:26.63,0.713587487781036,-0.13,25.48,23.61
00:26.68,0.713587487781036,0.01,26.40,24.84
00:26.73,0.694037145650049,0.28,26.87,24.02
00:26.79,0.674486803519062,0.28,25.02,24.84
00:26.84,0.698924731182796,0.01,23.17,24.84
00:26.89,0.718475073313783,0.37,25.94,24.84
00:26.95,0.718475073313783,-0.12,25.48,24.84
00:27.00,0.694037145650049,0.01,25.94,24.02
00:27.05,0.669599217986315,0.28,25.02,24.84
00:27.11,0.694037145650049,-0.03,25.02,25.25
00:27.16,0.718475073313783,-0.12,25.48,24.02
00:27.21,0.718475073313783,-0.12,24.55,26.08
00:27.27,0.694037145650049,-0.12,26.40,25.25
00:27.32,0.664711632453568,-0.12,24.55,25.25
00:27.37,0.679374389051808,-0.12,25.48,25.25
